,Tweets,Locations,Polarity,lenght
206,We are extremely sorry for this experience We shall look into the matter and make sure you don t have to go through this again Going further please register all encroachment related complaints on the DDA311 app,New Delhi India,0,210
207,dda Delhi shopkeepers are getting harrassed and getting such letter to pay so much charges one side we are frustrated due to low income and other side you are affecting like it AnilKumarINC,New Delhi,-1,189
208,dda Resident encroach extra 30 area please take necessary action,,1,64
209,dda dda there is no response from your office This tree is dangerous and has become the cause of many accidents It is urgent for road safety as India is celebrating Road Safety Month Why you are not responding on an urgent basis Waiting for your positive response,,1,263
210,dda On of our resident doing encroachment of balcony above the legitimate limit Request u kindly take necessary action Encroachment,Delhi,1,131
211,dda dda there is no response from your office This tree has caused many serious accidents India is celebrating Road Safety Month Why Authorities are not taking it seriously,,-1,172
212, dda sharing the complaint number for your reference and quick action Complaint 20210203000066651,,-1,97
213,dda sir please provide steno cut off marks,,0,42
214,dda Respected sir My name is Gaurav kumar I filled my DDA steno form with English shorthand language but my steno language is changed into Hindi Please resolve this issue as soon as possible,,1,190
215,Strange but true fact is that unplanned illegal construction are on a rise while the planned development in Delhi is repeatedly ignored dda MoHUA circle rates are slashed Why agriculture land price aren t increased over time now,New Delhi India,-1,228
216,We regret the inconvenience caused to you over the delay in addressing your issue The concerned department will act to resolve the matter at the earliest,New Delhi India,0,153
217, dda Sir DDA has conducted computer based exam for the post of Stenographer But there is only one hindi typing,,0,110
218, dda Sir DDA has conducted computer based exam for the post of Stenographer But there is only one hindi typing,,0,110
219, you promised us a professional running sythetic track Where is it dda FitIndiaMo,New Delhi India,1,81
220,Jheel bhavishy So true Stakeholders need to be involved and Jheel site must be declared a site along with River Sahibi citing it s ecological importance dda Dpt ks,Pole No 10 Village Jhuljhuli New Delhi 110073,1,163
221,It will be really helpful if you could share your concern in detail so that we can lodge your complaint with the concerned department,New Delhi India,-1,133
222,dda dda DDA should reduce freehold charges for GPA and original allottee to promote amp generate revenue during this Covid period,Dwarka New Delhi,1,129
223, dda DDA should reduce freehold charges for GPA and original allottee to promote amp generate revenue during thi,Dwarka New Delhi,1,112
224,dda DDA should reduce freehold charges for GPA and original allottee to promote amp generate revenue during this Covid period,Dwarka New Delhi,1,125
225, dda sharing the complaint number for your reference and quick action Complaint 20210203000066651,New Delhi India,-1,97
226,dda 64 Rps Colony Opp Khanpur Bus Depot M B Road New Delhi 62,Delhi,1,61
227, YDB Gwaith andros o dda gan Finnley o blwyddyn 8 Great to see the tools out at home Well done Finnley dtchat Upcycled sustain,Llangollen,1,126
228,The work is in process,New Delhi India,0,22
229,OFFICIAL dda OFFICIAL No action is taken due to authorities blaming each other to avoid responsibility and accountability Pls Intervene,Delhi,-1,135
230,you promised us a professional running sythetic track Where is it dda FitIndiaMovement fitIndia,Delhi India,1,95
231,dda Shared my contact number on the given email ID Thanks,New Delhi,1,57
232,rightly warned on 14 11 2014 that Bad days ahead for the Sheikh Sarai DDA Flats The whole system run by Official made life of Sheikh Sarai Phase1 residents miserable Can Media help us,,-1,183
233, dda In DDA STENOGRAPHER result the medium of steno skill is given wrong by DDA many candidates facing this,,0,107
234,dda Thank you for highlighting this to us We request you to please share the exact location and your contact details Our team will look into it and resolve the issue at the earliest,,1,181
235,Your grievance has been lodged with LG s Listening Post for redressal by dda Kindly provide your contact no at lggc delhi in for follow up You may download our App on iOS amp Android,New Delhi India,1,182
236,dda Sir Madam I filled up DDA stenogropher form and chose skill test medium english but in shortlisted candidates for skill test my skill test medium is in Hindi plz help,,1,170
237,Your grievance has been lodged with LG s Listening Post for redressal by dda Kindly provide your contact no at lggc delhi in for follow up You may download our App on iOS amp Android,New Delhi India,1,182
238,It will be really helpful if you could send us the exact location of the complaint so that we can lodge your complaint with the concerned department,New Delhi India,-1,148
239,dda What is the cut off of DDA Patwari exam,,0,43
240, dda sir I want to know if someone opted hindi for typing test and want to take test in english is that allo,Kanpur India,0,108
241,dda At least give 1 month for the preparation of stenographer Conducting skill test within 2 week of declaring the result is UNFAIR for the students,,-1,148
242,Sir I have registered a the complaint with the grievance number 2021001756 against the illegal construction Request you kindly acknowledge dda,,-1,142
243,dda sharing the complaint number for your reference and quick action Complaint 20210203000066651 FYI,Khurja Ghaziabad Meeut Rohini,-1,100
244,dda Please tell the exam pattern of DDA Patwari Stage 2 exam And will there be any waiting list after final result,Delhi,0,114
245,Cutoffs marks for Patwari Post dda,,0,34
246,dda regarding patwari examination Final selection will based on which paper tier 1 or tier 2 Because it is not clearly mentioned in notification Please clarify with an official notice Because this can be a matter of dispute in future as happened in JSA recruitment,,-1,264
247,We had a discussion with Leenu Sehgal dda Planning commissioner on the importance of public participation in Delhi master plan Also presented our campaign reports amp documents and gave her recommendations on how DDA can work with a democratic approach,New Delhi,0,252
248,dda Storm water drain cap broken DJB and MCD says DDA will do the job Serious accident waiting to happen Pocket 15A Sec 24 Rohini Delhi 85 9015303090,,-1,149
249,dda In DDA STENOGRAPHER result the medium of steno skill is given wrong by DDA many candidates facing this problem please correct the medium of skill,,0,149
